image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,3,0.881432,car,car,True
drive_022,2,2,0.839246,car,car,True
drive_022,3,1,0.950338,bus,bus,True
drive_022,4,5,0.862136,van,truck,False
drive_022,5,4,0.885451,van,car,False
drive_033,1,1,0.851087,car,car,True
drive_033,2,8,0.764543,car,car,True
drive_033,3,11,0.840105,car,car,True
drive_033,4,7,0.716788,car,car,True
drive_033,5,10,0.71472,car,car,True
drive_033,6,25,0.846911,car,car,True
drive_033,7,26,0.65574,car,car,True
drive_033,9,3,0.813354,car,car,True
drive_033,10,2,0.750092,car,car,True
drive_033,11,4,0.69123,car,car,True
drive_033,12,6,0.513238,car,car,True
drive_033,13,5,0.888648,car,car,True
drive_033,14,28,0.57357,car,car,True
drive_033,16,27,0.871176,car,car,True
drive_033,17,13,0.909152,car,car,True
drive_033,18,20,0.831389,truck,truck,True
drive_033,19,19,0.763653,car,car,True
drive_033,20,18,0.615434,car,car,True
drive_033,21,9,0.873779,car,car,True
drive_033,22,12,0.770742,car,car,True
drive_033,23,29,0.732751,car,car,True
drive_033,24,16,0.780125,car,car,True
drive_033,25,15,0.918675,car,car,True
drive_033,26,17,0.930974,car,car,True
drive_033,27,23,0.683908,car,car,True
drive_033,28,14,0.890271,car,car,True
drive_033,29,24,0.913011,car,car,True
drive_033,30,22,0.93093,bus,bus,True
drive_038,1,11,0.91936,bus,bus,True
drive_038,2,29,0.859618,car,car,True
drive_038,3,6,0.815324,car,car,True
drive_038,4,18,0.918371,car,car,True
drive_038,5,19,0.957551,car,car,True
drive_038,6,17,0.765908,car,car,True
drive_038,7,23,0.782656,car,car,True
drive_038,8,7,0.85926,car,car,True
drive_038,9,14,0.8857,car,car,True
drive_038,11,15,0.852244,car,car,True
drive_038,12,16,0.74261,car,car,True
drive_038,14,2,0.926694,car,car,True
drive_038,15,1,0.633278,car,car,True
drive_038,16,20,0.65552,car,car,True
drive_038,17,21,0.68231,car,car,True
drive_038,34,30,0.790385,car,car,True
drive_038,37,4,0.885988,truck,truck,True
drive_038,38,25,0.769402,car,car,True
drive_038,39,8,0.59655,car,car,True
drive_038,40,3,0.918718,truck,truck,True
drive_038,41,22,0.30359,truck,bus,False
drive_038,42,10,0.874196,bus,bus,True
drive_038,43,9,0.900585,bus,bus,True
drive_038,44,12,0.788343,bus,bus,True
drive_038,45,13,0.650662,bus,bus,True
drive_038,46,5,0.902358,van,van,True
drive_038,49,28,0.780987,car,car,True
drive_038,50,26,0.789608,car,car,True
drive_038,51,24,0.845639,car,car,True
drive_038,53,27,0.86982,van,car,False
drive_008,2,12,0.900543,van,van,True
drive_008,4,14,0.84183,car,car,True
drive_008,5,4,0.838258,car,car,True
drive_008,6,25,0.704868,car,car,True
drive_008,8,18,0.880741,car,car,True
drive_008,9,2,0.847174,car,car,True
drive_008,11,3,0.84146,car,car,True
drive_008,12,1,0.821432,car,car,True
drive_008,13,7,0.884877,car,car,True
drive_008,14,8,0.855941,car,truck,False
drive_008,15,24,0.877933,car,car,True
drive_008,17,9,0.650675,car,car,True
drive_008,18,23,0.795496,car,car,True
drive_008,19,22,0.835321,car,car,True
drive_008,20,21,0.86378,car,car,True
drive_008,21,19,0.968679,car,car,True
drive_008,22,10,0.923811,truck,truck,True
drive_008,23,16,0.903743,bus,bus,True
drive_008,24,5,0.900375,bus,bus,True
drive_008,25,11,0.912856,van,van,True
drive_008,28,17,0.926693,van,van,True
drive_008,29,20,0.693594,car,car,True
drive_008,30,13,0.882914,car,car,True
drive_008,31,6,0.710849,car,car,True
drive_008,32,15,0.978729,bus,bus,True
